"SOURCE" "TRAJ" "subj" "language" "stimulus" "iter" "cluster" "C1_GONS..ms." "C1_PVEL..ms." "C1_NONS..ms." "C1_MAXC..ms." "C1_NOFFS..ms." "C1_PVEL2..ms." "C1_GOFFS..ms." "C2_GONS..ms." "C2_PVEL..ms." "C2_NONS..ms." "C2_MAXC..ms." "C2_NOFFS..ms." "C2_PVEL2..ms." "C2_GOFFS..ms." "C1_PV_to" "C2_PV_to" "C1stiffness1" "C2stiffness1" "C1_PV_fro" "C2_PV_fro" "C1stiffness2" "C2stiffness2" "C1_AV_to" "C2_AV_to" "C1_AV_fro" "C2_AV_fro" "C2onset_C1release" "rel.overlap" "C2onset_C1offset" "n.overlap2" "onset.lag" "n.onset.lag" "offset.lag" "n.offset.lag" "IPI" "n.IPI" "C1_pla" "C2_pla" "n.C1_pla" "n.C2_pla" "C1_gest" "C2_gest" "n.C1_gest" "n.C2_gest" "clus_gest" "C1_to" "C1_fro" "C2_to" "C2_fro" "vowel" "C1_PD" "C1_PD2" "C2_PD" "C2_PD2" "articulator" "type" "voicing" "pros_cond" "C2target_C1offset" "recstiffmean" "recstiffmean2" "C1onset_C2target" "recC1stiffness2" "recC2stiffness1"
"22" "blasen_u_11" "LA" "DE1" "German" "blasen" 11 "bl" 2600 2640 2672 2692 2724 2784 2828 2700 2720 2736 2744 2772 2804 2844 28.865 14.634 20.0451388888889 33.3713217749115 26.185 14.299 16.365625 17.0346943978271 0.2 0.121811177496004 0.153846153846154 0.116583965396852 24 0.461538461538462 0.128 0.524590163934426 -100 -0.409836065573771 16 0.0655737704918033 12 0.12 52 36 0.52 0.36 228 144 0.934426229508197 0.590163934426229 244 72 104 36 72 "a" 14.4 16 4.38520238985614 8.39404550857333 "LAB" "LA-TT" "voiced" "Y" 92 0.0455347673192654 0.0399266281083363 136 0.0611036853160206 0.0299658493225101
"24" "blasen_w_02" "LA" "DE1" "German" "blasen" 2 "bl" 1696 1752 1776 1792 1820 1892 1904 1872 1888 1908 1916 1932 1972 2020 29.243 14.107 20.8878571428571 32.851424639849 12.775 13.879 19.0671641791045 17.3840973840331 0.175 0.119282836408799 0.0797619047619048 0.0907242438918731 -52 -1.18181818181818 0.032 0.0987654320987654 -176 -0.54320987654321 116 0.358024691358025 88 0.564102564102564 44 24 0.282051282051282 0.153846153846154 208 148 0.641975308641975 0.45679012345679 324 80 84 36 88 "a" 14 6.7 4.29418211071678 7.98373346248483 "LAB" "LA-TT" "voiced" "N" -4 0.041443132065539 0.0391573926178328 212 0.0524461839530332 0.0304400801780448
"25" "blasen_w_03" "LA" "DE1" "German" "blasen" 3 "bl" 2208 2232 2260 2292 2332 2408 2468 2352 2372 2392 2400 2412 2464 2500 23.499 16.959 25.8230769230769 31.2452402892536 21.655 12.936 11.9640883977901 14.6565339409776 0.175 0.135692667451119 0.133088235294118 0.100296564380074 -20 -0.277777777777778 0.116 0.397260273972603 -144 -0.493150684931507 32 0.10958904109589 60 0.394736842105263 72 20 0.473684210526316 0.131578947368421 260 148 0.89041095890411 0.506849315068493 292 52 136 40 88 "a" 9.1 18.1 5.42770669804476 8.82609766544649 "LAB" "LA-TT" "voiced" "N" 76 0.0577941713537566 0.0353649634080746 184 0.0835834680212419 0.0320048746862714
"26" "blasen_w_04" "LA" "DE1" "German" "blasen" 4 "bl" 1912 1976 2012 2056 2088 2184 2264 2052 2132 2148 2156 2164 2244 2276 23.045 9.976 16.9448529411765 17.693395138281 16.137 10.435 9.43684210526316 13.1479077789934 0.136 0.0587318973292102 0.0971590909090909 0.0708627139946945 36 0.473684210526316 0.212 0.582417582417582 -140 -0.384615384615385 12 0.032967032967033 60 0.394736842105263 76 16 0.5 0.105263157894737 352 224 0.967032967032967 0.615384615384615 364 100 176 96 112 "a" 13.6 17.1 5.63826214360418 7.93662396740579 "LAB" "LA-TT" "voiced" "N" 116 0.0812429586263091 0.0577666179910888 236 0.105967651979922 0.0565182652726963
"27" "blasen_w_05" "LA" "DE1" "German" "blasen" 5 "bl" 1928 1976 2004 2028 2064 2132 2136 2100 2116 2136 2152 2168 2208 2244 28.447 13.226 21.2291044776119 34.2752924852529 16.38 10.716 21.84 16.8406487034431 0.176315789473684 0.107187674342082 0.104166666666667 0.0837259908943844 -36 -0.6 0.036 0.113924050632911 -172 -0.544303797468354 108 0.341772151898734 72 0.439024390243902 60 32 0.365853658536585 0.195121951219512 208 144 0.658227848101266 0.455696202531646 316 76 72 36 76 "a" 13.4 7.5 3.85875627631495 6.36317530797321 "LAB" "LA-TT" "voiced" "N" 0 0.0374815404588528 0.0381403390137389 208 0.0457875457875458 0.0291755351301599
"28" "blasen_w_06" "LA" "DE1" "German" "blasen" 6 "bl" 1636 1672 1700 1720 1760 1836 1920 1780 1800 1820 1828 1836 1892 1928 25.141 13.569 22.0535087719298 32.0180350938262 18.936 14.511 9.61218274111675 13.9956511850297 0.178125 0.105948100502085 0.123125 0.112698050833303 -20 -0.333333333333333 0.14 0.479452054794521 -144 -0.493150684931507 8 0.0273972602739726 60 0.441176470588235 60 16 0.441176470588235 0.117647058823529 284 148 0.972602739726027 0.506849315068493 292 64 160 40 92 "a" 11.4 19.7 4.23792402008342 10.3682206766639 "LAB" "LA-TT" "voiced" "N" 100 0.0676335202662046 0.0382883279535519 184 0.104034643008027 0.0312323975243822
"29" "blasen_w_07" "LA" "DE1" "German" "blasen" 7 "bl" 1184 1220 1244 1280 1304 1348 1356 1324 1332 1356 1364 1376 1428 1476 34.875 10.903 24.051724137931 36.9646318998885 16.466 11.276 26.9934426229508 15.1824877172678 0.241666666666667 0.0921742575234539 0.117307692307692 0.0742697785105086 -20 -0.333333333333333 0.032 0.10958904109589 -140 -0.479452054794521 120 0.410958904109589 52 0.393939393939394 60 20 0.454545454545455 0.151515151515152 172 152 0.589041095890411 0.520547945205479 292 60 52 32 100 "a" 14.5 6.1 2.94957624075053 7.42697785105086 "LAB" "LA-TT" "voiced" "N" 0 0.032049460493853 0.0343149738336034 172 0.0370460342523989 0.027052886735307
"30" "blasen_w_08" "LA" "DE1" "German" "blasen" 8 "bl" 1512 1552 1584 1612 1636 1684 1696 1660 1676 1692 1704 1712 1764 1796 27.558 9.551 20.1153284671533 36.7074749188603 13.439 7.884 24.4345454545455 15.6680433666233 0.190277777777778 0.0813100739453605 0.0916666666666667 0.0599035505971863 -24 -0.461538461538462 0.036 0.126760563380282 -148 -0.52112676056338 100 0.352112676056338 56 0.4375 52 20 0.40625 0.15625 184 136 0.647887323943662 0.47887323943662 284 72 60 32 84 "a" 13.7 5.5 2.60192236625154 5.03189825016365 "LAB" "LA-TT" "voiced" "N" 4 0.0340840359416833 0.0384778698266514 180 0.040925664111913 0.0272424077714537
"31" "blasen_w_09" "LA" "DE1" "German" "blasen" 9 "bl" 1496 1532 1556 1572 1616 1700 1768 1628 1640 1660 1672 1704 1760 1788 38.278 10.394 24.8558441558442 37.240369691884 19.791 13.957 10.3078125 16.927838164196 0.256666666666667 0.0872205358559554 0.126315789473684 0.0981547438563037 -12 -0.2 0.14 0.479452054794521 -132 -0.452054794520548 20 0.0684931506849315 44 0.297297297297297 60 44 0.405405405405405 0.297297297297297 272 160 0.931506849315068 0.547945205479452 292 60 152 32 84 "a" 15.4 19.2 2.79105714739057 8.24499848392951 "LAB" "LA-TT" "voiced" "N" 108 0.0619331869887561 0.0335422834354109 164 0.0970137941488555 0.0268525798286566
"32" "blasen_w_10" "LA" "DE1" "German" "blasen" 10 "bl" 1060 1108 1136 1156 1188 1276 1344 1208 1224 1236 1244 1256 1308 1352 30.75 10.97 19.7115384615385 41.3154102069358 18.31 12.069 9.84408602150538 14.5020715558473 0.205263157894737 0.0948279860525125 0.119230769230769 0.0866902011315133 -20 -0.384615384615385 0.136 0.465753424657534 -148 -0.506849315068493 8 0.0273972602739726 48 0.4 52 20 0.433333333333333 0.166666666666667 284 144 0.972602739726027 0.493150684931507 292 76 156 28 96 "a" 15.6 18.6 2.65518360947035 8.32225930862527 "LAB" "LA-TT" "voiced" "N" 108 0.0628939389062674 0.03746787557955 176 0.101583833970508 0.0242040438420269
